enunciados|modelos|varindep|vardep
Un automóvil mantiene una aceleración constante de 8 m/s². Si su velocidad inicial era de 20 m/s al norte, ¿cuál será su velocidad después de 6 s?|MovimientoUniformementeAcelerado|[['a', '', '8', 'm/s²', 'm/s²'], ['v', 'vi', '20', 'm/s', 'm/s'], ['t', '', '6', 's', 's']]|[['a', 'a', 'm/s²'], ['v', 'v', 'm/s']]
Hallar la aceleración de la gravedad en un planeta conociéndose que en éste, cuando un cuerpo es soltado desde una altura de 4 m, tarda 1 s para golpear en el suelo. |CaidaLibre|[['d', 'y', '4', 'm', 'm'], ['t', 't', '1', 's', 's']]|[['a', 'g', 'm/s²']]
Un cuerpo cae libremente desde el reposo. Encuentre: a) su aceleración, b) la distancia que recorre en 3.0 s, c) su rapidez después de caer 70 m, d) el tiempo necesario para alcanzar una rapidez de 25 m/s y e) el tiempo que tarda en caer 300 m|CaidaLibre|[['v', 'vi', '0', 'm/s', 'm/s'], ['t', '', '3.0', 's', 's'], ['d', '', '70', 'm', 'm'], ['v', 'v', '25', 'm/s', 'm/s'], ['d', '', '300', 'm', 'm']]|[['a', 'a', 'm/s²'], ['d', 'd', 'm'], ['v', 'v', 'm/s'], ['t', 't', 's'], ['t', 't', 's']]
Como se muestra en la figura 2-4, desde la cima de un risco de 80 m de alto se dispara un proyectil con una rapidez horizontal de 30 m/s. a) ¿Cuánto tiempo necesitará para chocar contra el suelo en la base del risco? b) ¿A qué distancia del pie del risco será el choque? c) ¿Con qué velocidad se estrellará?|LanzamientodeProyectil|[['d', '', '80', 'm', 'm'], ['v', '', '30', 'm/s', 'm/s']]|[['v', 'v', 'm/s'], ['t', 't', 's'], ['d', 'd', 'm'], ['v', 'v', 'm/s']]
Una flecha sale del arco con una velocidad inicial de 120 ft/s a un ángulo de 37º respecto a la horizontal. ¿Cuáles son las componentes horizontal y vertical de su desplazamiento al cabo de dos segundos?|LanzamientodeProyectil|[['v', 'vi', '120', 'ft/s', 'm/s'], ['ang', 'ang', '37', 'º', 'º'], ['t', '', '2', 's', 's']]|[['d', 'x', 'm'], ['d', 'y', 'm']]
Una flecha se acelera de cero a 40 m/s en 0.5 s que permanece en contacto con la cuerda del arco. ¿Cuál es la aceleración media?|MovimientoUniformementeAcelerado|[['v', 'vi', '0', 'm/s', 'm/s'], ['v', '', '40', 'm/s', 'm/s'], ['t', '', '0.5', 's', 's']]|[['a', 'am', 'm/s²']]
Una polea de 5.0 cm de radio, en un motor, gira a 30 rev/s y disminuye su velocidad uniformemente a 20 rev/s en 2.0 s. Calcule a) la aceleración angular del motor, b) el ángulo al que da las vueltas en este tiempo y c) la longitud de la banda que se enrolla durante este lapso.|MovimientoCircular|[['d', 'r', '5.0', 'cm', 'm'], ['w', '', '30', 'rev/s', 'rad/s'], ['w', '', '20', 'rev/s', 'rad/s'], ['t', '', '2.0', 's', 's']]|[['alfa', 'alfa', 'rad/s²'], ['ang', 'ang', 'º'], ['d', 'l', 'm']]
Una piedra es lanzada hacia arriba, alcanzando una altura de 10 m. a)¿Tiempo que tarda en regresar al suelo? b)¿Qué altura alcanzará si se duplica la velocidad de lanzamiento?|LanzamientoVertical|[['d', 'y', '10', 'm', 'm']]|[['t', 't', 's'], ['d', 'y', 'm'], ['v', 'v', 'm/s']]
Un proyectil es disparado con un ángulo de inclinación de 45º grados y alcanza el punto más alto de su trayectoria al cabo de 27 seg. Calcular : a) La velocidad inicial. b) Altura máxima alcanzada. c) La distancia desde el cañón al blanco ,sabiendo que ambos están al mismo nivel 9.8 m/s².|LanzamientodeProyectil|[['ang', 'ang', '45', 'º', 'º'], ['t', '', '27', 's', 's'], ['a', '', '9.8', 'm/s²', 'm/s²']]|[['v', 'vi', 'm/s'], ['d', 'ymax', 'm'], ['d', 'd', 'm']]
Se lanza una pelota de béisbol hacia arriba con una rapidez de 30 m/s. a) ¿Cuánto tiempo tarda en subir? b) ¿A qué altura llegará? c) ¿Cuánto tiempo tardará, a partir de que se separa de la mano, en regresar a su punto de partida? d) ¿Cuándo tendrá una rapidez de 16 m/s?|LanzamientoVertical|[['v', 'v', '30', 'm/s', 'm/s'], ['v', 'v', '16', 'm/s', 'm/s']]|[['t', 't', 's'], ['d', 'y', 'm'], ['t', 't', 's']]
¿Con qué rapidez es lanzado hacia arriba para que alcance una altura de 490 m?|LanzamientoVertical|[['d', 'y', '490', 'm', 'm']]|[['v', 'v', 'm/s']]
Una masa de 1.5 kg en el espacio se mueve en un círculo de 25 cm de radio a 2.0 rev/s. Calcule a) la rapidez tangencial, b) la aceleración y c) la fuerza centrípeta requerida para este movimiento.|MovimientoCircular|[['m', 'm', '1.5', 'kg', 'kg'], ['d', 'r', '25', 'cm', 'm'], ['w', '', '2.0', 'rev/s', 'rad/s']]|[['v', 'vt', 'm/s'], ['a', 'a', 'm/s²'], ['F', 'Fc', 'N']]
Desde el techo de un edificio se deja caer una piedra hacia abajo y se oye el ruido del impacto contra el suelo 3 segundos después. Sin tomar en cuenta la resistencia del aire, ni el tiempo que tardó el sonido en llegar al oído, calcula:  a) La altura del edificio.  b) La velocidad de la piedra al llegar al suelo.|CaidaLibre|[['t', '', '3', 's', 's']]|[['t', 't', 's'], ['d', 'y', 'm'], ['v', 'v', 'm/s']]
Considere un automóvil que se mueve con aceleración uniforme de una rapidez inicial de 12 m/s a una final de 22 m/s, como se indica en la figura 6.2. Si consideramos la dirección a la derecha como positiva, la velocidad del auto en A es de +12 m/s y su velocidad final en B es de +22 m/s. Si el incremento en la velocidad requiere 5 s.|MovimientoUniformementeAcelerado|[['v', 'vi', '12', 'm/s', 'm/s'], ['v', '', '22', 'm/s', 'm/s'], ['v', 'vf', '+12', 'm/s', 'm/s'], ['v', '', '+22', 'm/s', 'm/s'], ['t', '', '5', 's', 's']]|[['a', 'a', 'm/s²'], ['v', 'v', 'm/s'], ['v', 'v', 'm/s']]
