enunciados|modelos
Se deja caer una pelota, inicialmente en reposo, desde una altura de 50 m sobre el nivel del suelo. a) ¿Cuál será la rapidez de la pelota justo en el momento anterior al choque contra el suelo? b) ¿Cuánto tiempo requiere para llegar al suelo?|CaidaLibre
Una piedra se lanza hacia arriba con una rapidez de 20 m/s. En su camino hacia abajo es atrapada en un punto situado a 5.0 m por encima del lugar desde donde se lanzó. a) ¿Qué rapidez tenía cuando fue atrapada? b) ¿Cuánto tiempo tomó el recorrido?|LanzamientoVertical
Un automóvil mantiene una aceleración constante de 8 m/s². Si su velocidad inicial era de 20 m/s al norte, ¿cuál será su velocidad después de 6 s?|MovimientoUniformementeAcelerado
Un camión que viaja a 60 mi/h frena hasta detenerse por completo en un tramo de 180 ft. ¿Cuáles fueron la aceleración media y el tiempo de frenado?|MovimientoUniformementeAcelerado
Un automóvil acelera uniformemente mientras pasa por dos puntos marcados que están separados 30 m. El tiempo que tarda en recorrer la distancia entre los dos puntos es de 4.0 s y la rapidez del automóvil en el primer punto marcado es de 5.0 m/s. Encuentre la aceleración del automóvil y su rapidez al llegar al segundo punto marcado.|MovimientoUniformementeAcelerado
Un autobús que se mueve en línea recta con rapidez de 20 m/s comienza a detenerse a razón de 3.0 m/s cada segundo. Encuentre cuánto se desplaza antes de detenerse.|MovimientoUniformementeAcelerado
Una lancha de motor parte del reposo y alcanza una velocidad de 15 m/s en un tiempo de 6 s. ¿Cuál era su aceleración y cuán lejos viajó?|MovimientoUniformementeAcelerado
Un automóvil que se mueve en un camino recto a 30 m/s disminuye su rapidez uniformemente hasta un valor de l0 m/s en un tiempo de 5.0 s. Determine: a) la aceleración del automóvil y b) la distancia que recorre en el tercer segundo.|MovimientoUniformementeAcelerado
Se lanza una pelota verticalmente hacia arriba en la Luna y regresa a su punto de partida en 4.0 s. La aceleración debida a la gravedad en ese lugar es de 1.60 m/s². Encuentre la rapidez inicial.|LanzamientoVertical
Un esquiador inicia un salto horizontalmente con una velocidad inicial de 25 m/s, como se muestra en la figura 6.10. La altura inicial al final de la rampa es de 80 m arriba del punto de contacto con el suelo, (a) ¿Cuánto tiempo permanece en el aire el esquiador? (b) ¿Cuán lejos viaja horizontalmente? (c) ¿Cuáles son las componentes horizontal y vertical de la velocidad final?|LanzamientodeProyectil
Un autobús parte del reposo y se mueve con una aceleración constante de 5.0 m/s². Encuentre su rapidez y la distancia recorrida después de transcurridos 4.0 s.|MovimientoUniformementeAcelerado
Se dejan caer dos pelotas al piso desde diferentes alturas. Una se deja caer 1.5 s después de la otra, pero ambas golpean el piso al mismo tiempo, 5.0 s después de dejar caer la primera. a) ¿Cuál es la diferencia de alturas a la cual se dejaron caer? b) ¿Desde qué altura se dejó caer la primera pelota?|LanzamientoVertical
Un robot llamado Fred se mueve inicialmente a 2.20 m/s por un pasillo en una terminal espacial. Después acelera a 4.80 m/s en un tiempo de 0.20 s. Determine el tamaño o la magnitud de su aceleración media a lo largo de la trayectoria recorrida.|MovimientoUniformementeAcelerado
Un cuerpo cae libremente desde el reposo. Encuentre: a) su aceleración, b) la distancia que recorre en 3.0 s, c) su rapidez después de caer 70 m, d) el tiempo necesario para alcanzar una rapidez de 25 m/s y e) el tiempo que tarda en caer 300 m.|CaidaLibre
La rapidez de un camión se incrementa uniformemente desde 15 km/h hasta 60 km/h en 20 s. Determine: a) la rapidez promedio, b) la aceleración y c) la distancia recorrida, todo en unidades de metros y segundos.|MovimientoUniformementeAcelerado
Se lanza una pelota de béisbol verticalmente hacia arriba en la superficie lunar con una rapidez inicial de 35 m/s. Calcule: a) la máxima altura que alcanza la pelota, b) el tiempo que tarda en alcanzar esa altura, c) su velocidad 30 s después de lanzarse y d) cuándo la pelota está a 100 m de altura.|LanzamientoVertical
Una flecha sale del arco con una velocidad inicial de 120 ft/s a un ángulo de 37° respecto a la horizontal. ¿Cuáles son las componentes horizontal y vertical de su desplazamiento al cabo de dos segundos?|LanzamientodeProyectil
Mientras un ascensor se mueve hacia arriba por un cubo a una velocidad de 3.00 m/s, se suelta una tuerca de un tornillo. La tuerca golpea el fondo del cubo del ascensor en 2.00 s. a) ¿A qué altura con respecto al fondo del cubo se encuentra el ascensor cuando se desprendió la tuerca? b) ¿Qué tan lejos del fondo estaba la tuerca 0.25 s después de salirse de su sitio?|LanzamientoVertical
